entrez	max_FC_log2
353135	-5.67373035792741
150577	-5.66513284940514
116379	-5.65938734184771
106481654	-5.65702646030481
100507059	-5.65535182861255
100507254	-5.65535182861255
54510	-5.65481220076228
28984	-5.64529816394863
5653	-5.64318826333004
101928151	-5.64154602908752
5588	-5.63544540667372
388942	-5.62760683812965
91851	-5.62320997007812
339241	-5.61555082055458
65975	-5.61337091590691
10085	-5.6111754505258
2253	-5.60655503121551
11095	-5.59192644847092
5138	-5.58652343681164
28	-5.58547765696333
104355286	-5.58496250072116
5670	-5.58496250072116
100129128	-5.58442807024981
414194	-5.58320204285672
9388	-5.57958827515999
8128	-5.57497841214853
6422	-5.5601745368733
10391	-5.55407464589829
6374	-5.55074678538324
147111	-5.55011812683386
84251	-5.54843662469604
163933	-5.54432051622381
3910	-5.54401133415864
285987	-5.54295782537273
10804	-5.53638899693151
105376672	-5.53605290024021
730005	-5.51978784587743
6529	-5.51096191927738
5650	-5.50708570830002
150572	-5.50007360313464
105378220	-5.49425558654498
101929484	-5.4937134383552
236	-5.49185309632968
28684	-5.49185309632968
100130889	-5.48645695576873
1908	-5.48542682717024
56849	-5.48542682717024
128646	-5.47248777146274
101927351	-5.47248777146274
105372751	-5.4609737834457
3872	-5.46046166729161
55380	-5.45634233471406
92211	-5.45490196015678
1015	-5.45366830410821
9118	-5.45285896471381
5798	-5.45113107105221
100130490	-5.44790974874208
2201	-5.4462902545123
137835	-5.43672623719903
11081	-5.43295940727611
11063	-5.43204832733368
6696	-5.4311237362387
164118	-5.42335740816481
105376462	-5.41874554805641
2044	-5.41712917817439
6693	-5.4162465691336
64100	-5.41278152533848
353132	-5.41052201815635
388830	-5.40786842631328
100507632	-5.40769264866568
8685	-5.40664813016026
1410	-5.40612649093796
4166	-5.40581326526298
3170	-5.40431626882116
7941	-5.40230919443592
101927642	-5.40082056158402
2740	-5.39854937649027
133121	-5.39448525946147
50614	-5.39445712660574
285548	-5.39410847830475
1618	-5.39231742277876
207107	-5.3911805879157
57863	-5.37752042085068
442247	-5.37637587890974
80380	-5.37573453858316
80243	-5.37443673405097
28661	-5.37155886261196
718	-5.36982863237631
7364	-5.36479832989921
27303	-5.36426388062522
105372978	-5.3641479229384
9447	-5.36288476911022
284110	-5.36153024256914
84850	-5.35654629175694
387895	-5.35219353774503
346	-5.35049724708413
103695363	-5.35049724708413
126242	-5.35049724708413
2290	-5.34722953325022
1600	-5.34586083696342
3199	-5.34127418369217
7133	-5.34124782274603
100506895	-5.33985000288462
100287216	-5.33370526266372
9615	-5.3327171364093
105372080	-5.32912359629157
5266	-5.32709671701758
5055	-5.32683415167261
8522	-5.31621059855181
3236	-5.31308457572223
100505785	-5.30742852519225
285533	-5.29936189765156
7225	-5.2972896788678
101928122	-5.29278174922785
284759	-5.29160355803056
118427	-5.28540221886225
729974	-5.28434491207921
3624	-5.27942741109862
1131	-5.27937614385831
102724774	-5.27684020535883
105369906	-5.27684020535882
9074	-5.27209265125519
79652	-5.27016126747556
1538	-5.26303440583379
94033	-5.26303440583379
105370078	-5.26303440583379
133060	-5.26303440583379
645425	-5.26303440583379
6121	-5.26303440583379
89777	-5.26303440583379
101927554	-5.25927248703759
2882	-5.2584070550564
858	-5.25612885460772
503637	-5.24961389007147
81569	-5.24321820604383
7857	-5.24108211016171
643965	-5.23703919730085
100506305	-5.2364926183813
162083	-5.23266075679028
1995	-5.23266075679027
140578	-5.23087372237008
2247	-5.22733824394125
100506457	-5.22650852980868
125997	-5.22606807947985
100652988	-5.22366016749965
6299	-5.22239242133645
102682016	-5.21801928964336
401960	-5.21723071622067
29944	-5.21723071622067
100420484	-5.21723071622067
554202	-5.21636863370868
1278	-5.21419239630326
1357	-5.21364637887163
169355	-5.20945336562895
117581	-5.20930621941628
2328	-5.20875578345093
26577	-5.20715044057035
9719	-5.20480636391237
1292	-5.2030170087223
11172	-5.20252966687424
56952	-5.19973880550854
115701	-5.19894977659844
254228	-5.19793937761191
135295	-5.19162007254163
10637	-5.19142281238351
80059	-5.18991647662978
107075116	-5.18474964888574
133396	-5.17543297938226
101929010	-5.16992500144231
22987	-5.16992500144231
2533	-5.16818838366911
2113	-5.16564621865574
170591	-5.16457176694811
55584	-5.16425625135562
30820	-5.16221003631431
729252	-5.16027483140859
105370183	-5.15704371014558
84628	-5.15271386179988
81606	-5.15178508733909
90865	-5.15130932327497
28690	-5.15055967657538
55679	-5.14820836385193
4986	-5.14591031695724
