"","gene_name","antibody_name","RNASeq_name","RPPAFC","RNAFC","log2RPPAFC","log2RNAFC","max_log_FC","max_RPPAorRNA"
"67","MSH6","MSH6_Caution","ENSG00000116062.10",0.708859315150163,0.810176009094453,-0.49642876569446,-0.303692730268977,-0.49642876569446,"RPPA"
"68","MYC","c-Myc_Caution","ENSG00000136997.10",1.1417296978448,1.14225896991694,0.191221136045108,0.191889771768401,0.191889771768401,"RNA"
"69","MYH11","MYH11","ENSG00000133392.12",0.80446456534841,0.91114648400021,-0.313899219646525,-0.134245081746997,-0.313899219646525,"RPPA"
"70","MYH9","Myosin IIa pS1943","ENSG00000100345.16",0.813830533119728,0.950424456893813,-0.297199686736645,-0.0733561339744384,-0.297199686736645,"RPPA"
"71","NF2","NF2_Caution","ENSG00000186575.13",0.662207519918881,0.828610439139082,-0.594644701053572,-0.271234098852989,-0.594644701053572,"RPPA"
"72","NOTCH1","Notch1","ENSG00000148400.9",0.811266220001394,0.867413991251179,-0.301752677052451,-0.205207381054689,-0.301752677052451,"RPPA"
"73","NRAS","N-Ras","ENSG00000213281.4",1.17302014585328,1.08999547588853,0.230227790922298,0.124322146996027,0.230227790922298,"RPPA"
"74","NRG1","Heregulin","ENSG00000157168.14",1.15806820313565,1.09219254992023,0.211720221745153,0.127227221025898,0.211720221745153,"RPPA"
"75","PARK7","DJ-1","ENSG00000116288.8",1.09535982042616,1.05810880895502,0.131404866056889,0.0814879923557535,0.131404866056889,"RPPA"
"76","PARP1","PARP_cleaved_Caution","ENSG00000143799.8",0.912226521937726,0.900099279845719,-0.132535979381676,-0.151843957176481,-0.151843957176481,"RNA"
"77","PCNA","PCNA_Caution","ENSG00000132646.6",0.740069429451039,0.843920193918208,-0.434267471678133,-0.244821519275073,-0.434267471678133,"RPPA"
"78","PDCD4","PDCD4_Caution","ENSG00000150593.11",1.91247542717671,1.34117260665588,0.935441211168398,0.423494921613475,0.935441211168398,"RPPA"
"79","PGR","PR","ENSG00000082175.10",1.16241189282291,1.06297537310425,0.217121368603751,0.0881081730572267,0.217121368603751,"RPPA"
"80","PIK3CA","PI3K-p110-alpha_Caution","ENSG00000121879.3",1.13899686875578,1.08865756830641,0.187763780903165,0.122550233031418,0.187763780903165,"RPPA"
"81","PIK3R1","PI3K-p85","ENSG00000145675.10",0.937578243259647,0.954207646360011,-0.0929890028422167,-0.0676248477587408,-0.0929890028422167,"RPPA"
"82","PRDX1","PRDX1","ENSG00000117450.9",1.05690309370707,0.966687832596825,0.0798431036483348,-0.0488780118793855,0.0798431036483348,"RPPA"
"83","PREX1","PREX1","ENSG00000124126.9",3.00442960462895,1.58839034073901,1.58709111916168,0.667565492737613,1.58709111916168,"RPPA"
