"","gene","ensembl","Antibody","max_FC_log2","is_max"
"183","AC002128.1","ENSG00000268947.1",NA,-0.227598009268541,0
"184","AC002128.2","ENSG00000271366.1",NA,0.343565744145806,0
"185","AC002306.1","ENSG00000259242.2",NA,-1.26303440583379,0
"186","AC002310.1","ENSG00000235560.3",NA,-0.0187943732862835,0
"187","AC002310.2","ENSG00000239791.1",NA,0.607572072449948,0
"188","AC002310.3","ENSG00000260494.1",NA,-0.786596361890807,0
"189","AC002310.4","ENSG00000261459.1",NA,0.366824632861685,0
"190","AC002347.1","ENSG00000261433.1",NA,-1.23918766387943,0
"191","AC002351.1","ENSG00000258240.1",NA,1.22795194667835,0
"193","AC002378.1","ENSG00000225676.1",NA,-1.98248223874197,0
"194","AC002398.1","ENSG00000267049.1",NA,-0.282342837234232,0
"195","AC002398.2","ENSG00000267328.1",NA,-0.650057528943041,0
"197","AC002401.2","ENSG00000250282.1",NA,-0.133343329194157,0
"199","AC002451.1","ENSG00000231170.1",NA,0.222392421336448,0
"200","AC002456.1","ENSG00000223969.1",NA,-2.04720773555723,0
"201","AC002456.2","ENSG00000251154.1",NA,-2.01639443825067,0
"202","AC002463.1","ENSG00000223646.1",NA,-1.26303440583379,0
"203","AC002464.1","ENSG00000260188.1",NA,0.321928094887362,0
"204","AC002467.1","ENSG00000241764.3",NA,-0.80453990645055,0
"205","AC002470.1","ENSG00000272829.1",NA,-0.0817707648899152,0
"206","AC002472.1","ENSG00000226872.1",NA,-5.35049724708413,0
"207","AC002480.1","ENSG00000232759.1",NA,-4.6607939136808,0
"210","AC002504.1","ENSG00000214111.3",NA,-2.33342373372519,0
"211","AC002511.1","ENSG00000232680.2",NA,-0.526068811667588,0
"213","AC002519.1","ENSG00000259810.2",NA,0.204091604593504,0
"214","AC002519.2","ENSG00000261457.2",NA,0.0906025487809066,0
"215","AC002524.1","ENSG00000233247.2",NA,-1.50256205878296,0
"217","AC002543.1","ENSG00000235945.1",NA,-1.1287333141222,0
"219","AC002546.1","ENSG00000267653.1",NA,-1.26303440583379,0
"220","AC002550.1","ENSG00000261312.1",NA,0.887151200592116,0
"221","AC002551.1","ENSG00000261736.1",NA,-1.53222103864918,0
"222","AC002558.1","ENSG00000239291.1",NA,-0.186683519703679,0
"223","AC002558.2","ENSG00000261872.1",NA,-0.440677320436944,0
"224","AC002558.3","ENSG00000262265.1",NA,-0.0406419844973458,0
"225","AC002563.1","ENSG00000255692.1",NA,1.41503749927884,0
"226","AC002984.1","ENSG00000267005.1",NA,0.0615384103091325,0
"227","AC002985.1","ENSG00000268193.1",NA,-2.40846484535536,0
"228","AC002996.1","ENSG00000257767.2",NA,2.95290299336535,0
"231","AC003002.3","ENSG00000269533.1",NA,0.644399475430134,0
"232","AC003005.1","ENSG00000268107.1",NA,-1.3080218606071,0
"233","AC003005.2","ENSG00000268266.1",NA,-1.62116951387816,0
"234","AC003006.1","ENSG00000269026.2",NA,-0.7131039212674,0
"236","AC003035.1","ENSG00000212663.2",NA,2.25153876699596,0
"238","AC003043.1","ENSG00000221496.1",NA,0.393633647943244,0
"239","AC003070.1","ENSG00000267344.1",NA,0.37247980415015,0
"240","AC003070.2","ENSG00000267446.1",NA,-0.231325546106456,0
"241","AC003072.1","ENSG00000250318.1",NA,-0.0310072816603516,0
"242","AC003080.1","ENSG00000234358.1",NA,0.544320516223809,0
"243","AC003092.1","ENSG00000236453.1",NA,-1.82119684721123,0
"245","AC003101.1","ENSG00000228768.1",NA,0.878321443411748,0
"246","AC003102.1","ENSG00000260793.2",NA,0.985818311838979,0
"247","AC003666.1","ENSG00000227042.1",NA,-2.40053792958373,0
"248","AC003682.1","ENSG00000268392.1",NA,-3.06372559761039,0
"249","AC003684.1","ENSG00000228543.1",NA,-0.263034405833794,0
"253","AC003688.2","ENSG00000262302.1",NA,-0.29642057432834,0
"254","AC003956.1","ENSG00000268564.1",NA,1.09390013888148,0
"256","AC003958.2","ENSG00000234859.1",NA,1.1963972128035,0
"257","AC003965.1","ENSG00000263280.1",NA,0.0932451938443455,0
"258","AC003965.2","ENSG00000263325.1",NA,0.91166773587039,0
