"","gene","ensembl","Antibody","max_FC_log2"
"423","GRAMD1B","ENSG00000023171.10",NA,-0.634048837088749
"424","RNH1","ENSG00000023191.12",NA,0.154093512952619
"425","NDUFS1","ENSG00000023228.9",NA,0.0373284167874006
"426","RB1CC1","ENSG00000023287.8",NA,-0.326714994458259
"427","ERP44","ENSG00000023318.7",NA,-0.746301934812379
"428","ALAS1","ENSG00000023330.10",NA,-0.248125161698488
"429","BIRC3","ENSG00000023445.9",NA,-3.96751148101758
"430","AKAP11","ENSG00000023516.7",NA,-0.379736641368091
"431","GLRX2","ENSG00000023572.4",NA,0.309153540699228
"432","SNAPC1","ENSG00000023608.4",NA,-0.750227607736099
"433","DERA","ENSG00000023697.8",NA,-0.403954102615015
"434","STRAP","ENSG00000023734.6",NA,0.0477982100158494
"435","ABCC2","ENSG00000023839.6",NA,1.42921041234949
"436","DEF6","ENSG00000023892.9",NA,-0.0498207832923532
"437","PLEKHO1","ENSG00000023902.9",NA,-0.54382748422244
"438","GCLM","ENSG00000023909.5",NA,-1.69966430114677
"439","UBR2","ENSG00000024048.6",NA,-0.0936020439868059
"440","EHD2","ENSG00000024422.7",NA,-1.12824296861569
"441","DEPDC1","ENSG00000024526.12",NA,-1.17701135627789
"442","CCDC28A","ENSG00000024862.12",NA,-0.544785823184721
"443","RRAGD","ENSG00000025039.10",NA,-1.58126284944559
"444","HSF2","ENSG00000025156.8",NA,-0.340302483437845
"445","PHF20","ENSG00000025293.11",NA,0.354231865252718
